chinese,frequency,pinyin,posseg
水樣,46,shui3-yang4,n
山遇仙,15,shan1-yu4-xian1,nr
雙杯,9,shuang1-bei1,m
速寫法,3,su4-xie3-fa3,n
雙制式,3,shuang1-zhi4-shi4,b
順水順風,3,shun4-shui3-shun4-feng1,i
壽終正寢,26,shou4-zhong1-zheng4-qin3,i
蘇丹共和國,13,su1-dan1-gong4-he2-guo2,ns
三豐,16,san1-feng1,nz
斯德哥爾摩,155,si1-de2-ge1-er3-mo2,nrt
時價,21,shi2-jia4,n
始終認為,3,shi3-zhong1-ren4-wei4,i
適材適所,3,shi4-cai2-shi4-suo3,n
束馬縣車,3,shu4-ma3-xian4-che1,nr
盛仲文,3,sheng4-zhong4-wen2,nr
似非而是,3,si4-fei1-er2-shi4,l
宿將,34,su4-jiang1,n
水分子,3,shui3-fen4-zi,n
生人,199,sheng1-ren2,n
閃來,3,shan3-lai2,v
摔掉,3,shuai1-diao4,v
縮脖子,10,suo1-bo2-zi,n
睡來睡去,3,shui4-lai2-shui4-qu4,n
絲髮之功,3,si1-fa4-zhi1-gong1,l
失算,32,shi1-suan4,v
詩禮傳家,2,shi1-li3-chuan2-jia1,n
時事知識,3,shi2-shi4-zhi1-shi2,n
傘蓋,172,san3-gai4,n
絲毫不爽,3,si1-hao2-bu4-shuang3,i
聲速,128,sheng1-su4,n
十五載,13,shi2-wu3-zai4,m
師範教育,3,shi1-fan4-jiao4-yu4,n
散兵線,4,san3-bing1-xian4,n
水陸俱陳,3,shui3-lu4-ju4-chen2,l
深山區,11,shen1-shan1-qu1,ns
十六部,5,shi2-liu4-bu4,m
首飛,3,shou3-fei1,v
司通政,4,si1-tong1-zheng4,nr
孫三毀,6,sun1-san1-hui3,nr
十四元,3,shi2-si4-yuan2,m
孫大哥,2,sun1-da4-ge1,nr
沙勒羅,3,sha1-lei1-luo2,nr
折倒,3,she2-dao3,v
舌狀,3,she2-zhuang4,n
山下人家,3,shan1-xia4-ren2-jia1,n
收錄機,30,shou1-lu4-ji1,n
輸出模塊,3,shu1-chu1-mo2-kuai4,n
水溜,3,shui3-liu4,n
時深轉換,3,shi2-shen1-zhuan3-huan4,i
食指浩繁,3,shi2-zhi3-hao4-fan2,l
宋押司,23,song4-ya1-si1,nr
時間繼電,3,shi2-jian1-ji4-dian4,n
死生有命,3,si3-sheng1-you3-ming4,i
歲不我與,3,sui4-bu4-wo3-yu3,i
石馬村,2,shi2-ma3-cun1,nr
市場供應,3,shi4-chang3-gong1-ying1,n
侍役,10,shi4-yi4,n
生命權,12,sheng1-ming4-quan2,n
十萬天,13,shi2-wan4-tian1,m
舒申斯,2,shu1-shen1-si1,nr
說是弄非,3,shuo1-shi4-nong4-fei1,i
少年人,75,shao4-nian2-ren2,n
桑針,3,sang1-zhen1,n
視如草芥,3,shi4-ru2-cao3-jie4,n
斯四世,4,si1-si4-shi4,nr
私宅,38,si1-zhai2,n
數百萬畝,3,shu4-bai3-wan4-mu3,m
水陸雜陳,3,shui3-lu4-za2-chen2,n
四氯化硅,3,si4-lv4-hua4-gui1,nz
沙源,3,sha1-yuan2,n
社會分工,83,she4-hui4-fen1-gong1,n
酸棗仁,3,suan1-zao3-ren2,n
實質性,341,shi2-zhi4-xing4,n
薩福克縣,2,sa4-fu2-ke4-xian4,ns
觴酒豆肉,3,shang1-jiu3-dou4-rou4,v
深根寧極,3,shen1-gen1-ning2-ji2,ns
三平方米,2,san1-ping2-fang1-mi3,m
手印,121,shou3-yin4,n
詩酒風流,4,shi1-jiu3-feng1-liu2,n
生靈,134,sheng1-ling2,n
三街六市,3,san1-jie1-liu4-shi4,ns
梳著,3,shu1-zhe,v
柵格數據,3,shan1-ge2-shu4-ju4,n
燒香拜拜,3,shao1-xiang1-bai4-bai4,n
蘇東,4,su1-dong1,ns
申討,3,shen1-tao3,v
樹葉,402,shu4-ye4,n
隨著,10614,sui2-zhe,p
神門,3,shen2-men2,n
上交不諂,3,shang4-jiao1-bu4-chan3,i
三教九流,43,san1-jiao4-jiu3-liu2,l
石膏礦,267,shi2-gao1-kuang4,n
酸鹼值,3,suan1-jian3-zhi2,vn
少耕法,3,shao3-geng1-fa3,n
上下結合,3,shang4-xia4-jie2-he2,j
申首輔,5,shen1-shou3-fu3,nr
宋玉東牆,3,song4-yu4-dong1-qiang2,nr
師洪向陽,11,shi1-hong2-xiang4-yang2,nr
四化建設,20,si4-hua4-jian4-she4,l
審判程序,3,shen3-pan4-cheng2-xu4,n
素髎,3,su4-liao2,v
舍輿登舟,3,she3-yu2-deng1-zhou1,ns
三伯,3,san1-bo2,ns
設崗,4,she4-gang3,vn
水電費,11,shui3-dian4-fei4,n
山仙宮,4,shan1-xian1-gong1,nr
