chinese,frequency,pinyin,posseg
盆湯,2,pen2-tang1,n
排骨湯,5,pai2-gu3-tang1,nz
屏保,12,ping2-bao3,nz
蓬勃,523,peng2-bo2,nr
頗為,122,po1-wei4,v
平靜,1946,ping2-jing4,a
飄過來,3,piao1-guo4-lai2,l
憑依,14,ping2-yi1,v
品議,3,pin3-yi4,n
平水,14,ping2-shui3,n
葡萄糖酸鈣,8,pu2-tao2-tang2-suan1-gai4,nz
評介,45,ping2-jie4,n
普瓦捷,2,pu3-wa3-jie2,nr
平裝本,2,ping2-zhuang1-ben3,l
普雷薩,3,pu3-lei2-sa4,nr
偏斜,31,pian1-xie2,v
葡聚糖,3,pu2-ju4-tang2,n
泡疹,3,pao4-zhen3,n
破罐破摔,5,po4-guan4-po4-shuai1,l
牌桌,7,pai2-zhuo1,n
憑,5717,ping2,p
盤剝,114,pan2-bo1,v
葡萄牙,892,pu2-tao2-ya2,ns
剖心泣血,3,pou1-xin1-qi4-xue4,i
盆景,144,pen2-jing3,n
帕尼巴,3,pa4-ni2-ba1,nr
評估器,3,ping2-gu1-qi4,n
佩爾戈,2,pei4-er3-ge1,nrt
槃木朽株,3,pan2-mu4-xiu3-zhu1,n
篇什,9,pian1-shi2,n
破格,145,po4-ge2,n
跑斷腿,7,pao3-duan4-tui3,l
葡萄牙人,303,pu2-tao2-ya2-ren2,n
龐萬春,22,pang2-wan4-chun1,nr
朴茨茅斯,57,pu3-ci2-mao2-si1,nrt
片鱗殘甲,3,pian4-lin2-can2-jia3,i
排水立管,3,pai2-shui3-li4-guan3,n
偏巷,3,pian1-xiang4,n
漂白液,3,piao3-bai2-ye4,n
碰,1888,peng4,v
偏旁部首,3,pian1-pang2-bu4-shou3,n
平潭縣,6,ping2-tan2-xian4,ns
彭子晴,3,peng2-zi-qing2,nr
刨樹搜根,3,pao2-shu4-sou1-gen1,vn
判若鴻溝,3,pan4-ruo4-hong2-gou1,i
彭山縣,10,peng2-shan1-xian4,ns
盆景土,3,pen2-jing3-tu3,n
賠償案,9,pei2-chang2-an4,n
撲減,3,pu1-jian3,v
縹緲,167,piao3-miao3,a
撲滅蚊蟲,3,pu1-mie4-wen2-chong2,n
帕馬菲,2,pa4-ma3-fei1,nr
普世性,4,pu3-shi4-xing4,nr
披袍,3,pi1-pao2,n
佩拉,4,pei4-la1,nrt
評斷,49,ping2-duan4,v
評選先進,3,ping2-xuan3-xian1-jin4,l
蒲師伯,2,pu2-shi1-bo2,nr
炮製,126,pao4-zhi4,n
盤縣,9,pan2-xian4,ns
批評界,3,pi1-ping2-jie4,n
破格提拔,3,po4-ge2-ti2-ba2,n
乒乓,106,ping1-pang1,o
批語,9,pi1-yu3,v
普遍認為,3,pu3-bian4-ren4-wei4,l
